id,name,type_1,type_2,height,weight,category,abilities,habitat,color,is_legendary,is_mythical,evolution_chain
180,flaaffy,Electric,,8,133,flaaffy,"['static', 'plus']",grassland,pink,False,False,https://pokeapi.co/api/v2/evolution-chain/89/
181,ampharos,Electric,,14,615,ampharos,"['static', 'plus']",grassland,yellow,False,False,https://pokeapi.co/api/v2/evolution-chain/89/
182,bellossom,Grass,,4,58,bellossom,"['chlorophyll', 'healer']",grassland,green,False,False,https://pokeapi.co/api/v2/evolution-chain/18/
183,marill,Water,Fairy,4,85,marill,"['thick-fat', 'huge-power', 'sap-sipper']",waters-edge,blue,False,False,https://pokeapi.co/api/v2/evolution-chain/90/
184,azumarill,Water,Fairy,8,285,azumarill,"['thick-fat', 'huge-power', 'sap-sipper']",waters-edge,blue,False,False,https://pokeapi.co/api/v2/evolution-chain/90/
185,sudowoodo,Rock,,12,380,sudowoodo,"['sturdy', 'rock-head', 'rattled']",forest,brown,False,False,https://pokeapi.co/api/v2/evolution-chain/91/
186,politoed,Water,,11,339,politoed,"['water-absorb', 'damp', 'drizzle']",waters-edge,green,False,False,https://pokeapi.co/api/v2/evolution-chain/26/
187,hoppip,Grass,Flying,4,5,hoppip,"['chlorophyll', 'leaf-guard', 'infiltrator']",grassland,pink,False,False,https://pokeapi.co/api/v2/evolution-chain/92/
188,skiploom,Grass,Flying,6,10,skiploom,"['chlorophyll', 'leaf-guard', 'infiltrator']",grassland,green,False,False,https://pokeapi.co/api/v2/evolution-chain/92/
189,jumpluff,Grass,Flying,8,30,jumpluff,"['chlorophyll', 'leaf-guard', 'infiltrator']",grassland,blue,False,False,https://pokeapi.co/api/v2/evolution-chain/92/
190,aipom,Normal,,8,115,aipom,"['run-away', 'pickup', 'skill-link']",forest,purple,False,False,https://pokeapi.co/api/v2/evolution-chain/93/
191,sunkern,Grass,,3,18,sunkern,"['chlorophyll', 'solar-power', 'early-bird']",grassland,yellow,False,False,https://pokeapi.co/api/v2/evolution-chain/94/
192,sunflora,Grass,,8,85,sunflora,"['chlorophyll', 'solar-power', 'early-bird']",grassland,yellow,False,False,https://pokeapi.co/api/v2/evolution-chain/94/
193,yanma,Bug,Flying,12,380,yanma,"['speed-boost', 'compound-eyes', 'frisk']",forest,red,False,False,https://pokeapi.co/api/v2/evolution-chain/95/
194,wooper,Water,Ground,4,85,wooper,"['damp', 'water-absorb', 'unaware']",waters-edge,blue,False,False,https://pokeapi.co/api/v2/evolution-chain/96/
195,quagsire,Water,Ground,14,750,quagsire,"['damp', 'water-absorb', 'unaware']",waters-edge,blue,False,False,https://pokeapi.co/api/v2/evolution-chain/96/
196,espeon,Psychic,,9,265,espeon,"['synchronize', 'magic-bounce']",urban,purple,False,False,https://pokeapi.co/api/v2/evolution-chain/67/
197,umbreon,Dark,,10,270,umbreon,"['synchronize', 'inner-focus']",urban,black,False,False,https://pokeapi.co/api/v2/evolution-chain/67/
198,murkrow,Dark,Flying,5,21,murkrow,"['insomnia', 'super-luck', 'prankster']",forest,black,False,False,https://pokeapi.co/api/v2/evolution-chain/97/
199,slowking,Water,Psychic,20,795,slowking,"['oblivious', 'own-tempo', 'regenerator']",waters-edge,pink,False,False,https://pokeapi.co/api/v2/evolution-chain/33/
200,misdreavus,Ghost,,7,10,misdreavus,['levitate'],cave,gray,False,False,https://pokeapi.co/api/v2/evolution-chain/98/
201,unown,Psychic,,5,50,unown,['levitate'],rare,black,False,False,https://pokeapi.co/api/v2/evolution-chain/99/
202,wobbuffet,Psychic,,13,285,wobbuffet,"['shadow-tag', 'telepathy']",cave,blue,False,False,https://pokeapi.co/api/v2/evolution-chain/100/
203,girafarig,Normal,Psychic,15,415,girafarig,"['inner-focus', 'early-bird', 'sap-sipper']",grassland,yellow,False,False,https://pokeapi.co/api/v2/evolution-chain/101/
204,pineco,Bug,,6,72,pineco,"['sturdy', 'overcoat']",forest,gray,False,False,https://pokeapi.co/api/v2/evolution-chain/102/
205,forretress,Bug,Steel,12,1258,forretress,"['sturdy', 'overcoat']",forest,purple,False,False,https://pokeapi.co/api/v2/evolution-chain/102/
206,dunsparce,Normal,,15,140,dunsparce,"['serene-grace', 'run-away', 'rattled']",cave,yellow,False,False,https://pokeapi.co/api/v2/evolution-chain/103/
207,gligar,Ground,Flying,11,648,gligar,"['hyper-cutter', 'sand-veil', 'immunity']",mountain,purple,False,False,https://pokeapi.co/api/v2/evolution-chain/104/
208,steelix,Steel,Ground,92,4000,steelix,"['rock-head', 'sturdy', 'sheer-force']",cave,gray,False,False,https://pokeapi.co/api/v2/evolution-chain/41/
209,snubbull,Fairy,,6,78,snubbull,"['intimidate', 'run-away', 'rattled']",urban,pink,False,False,https://pokeapi.co/api/v2/evolution-chain/105/
210,granbull,Fairy,,14,487,granbull,"['intimidate', 'quick-feet', 'rattled']",urban,purple,False,False,https://pokeapi.co/api/v2/evolution-chain/105/
211,qwilfish,Water,Poison,5,39,qwilfish,"['poison-point', 'swift-swim', 'intimidate']",sea,gray,False,False,https://pokeapi.co/api/v2/evolution-chain/106/
212,scizor,Bug,Steel,18,1180,scizor,"['swarm', 'technician', 'light-metal']",grassland,red,False,False,https://pokeapi.co/api/v2/evolution-chain/58/
213,shuckle,Bug,Rock,6,205,shuckle,"['sturdy', 'gluttony', 'contrary']",mountain,yellow,False,False,https://pokeapi.co/api/v2/evolution-chain/107/
214,heracross,Bug,Fighting,15,540,heracross,"['swarm', 'guts', 'moxie']",forest,blue,False,False,https://pokeapi.co/api/v2/evolution-chain/108/
215,sneasel,Dark,Ice,9,280,sneasel,"['inner-focus', 'keen-eye', 'pickpocket']",forest,black,False,False,https://pokeapi.co/api/v2/evolution-chain/109/
216,teddiursa,Normal,,6,88,teddiursa,"['pickup', 'quick-feet', 'honey-gather']",mountain,brown,False,False,https://pokeapi.co/api/v2/evolution-chain/110/
217,ursaring,Normal,,18,1258,ursaring,"['guts', 'quick-feet', 'unnerve']",mountain,brown,False,False,https://pokeapi.co/api/v2/evolution-chain/110/
218,slugma,Fire,,7,350,slugma,"['magma-armor', 'flame-body', 'weak-armor']",mountain,red,False,False,https://pokeapi.co/api/v2/evolution-chain/111/
219,magcargo,Fire,Rock,8,550,magcargo,"['magma-armor', 'flame-body', 'weak-armor']",mountain,red,False,False,https://pokeapi.co/api/v2/evolution-chain/111/
220,swinub,Ice,Ground,4,65,swinub,"['oblivious', 'snow-cloak', 'thick-fat']",cave,brown,False,False,https://pokeapi.co/api/v2/evolution-chain/112/
221,piloswine,Ice,Ground,11,558,piloswine,"['oblivious', 'snow-cloak', 'thick-fat']",cave,brown,False,False,https://pokeapi.co/api/v2/evolution-chain/112/
222,corsola,Water,Rock,6,50,corsola,"['hustle', 'natural-cure', 'regenerator']",sea,pink,False,False,https://pokeapi.co/api/v2/evolution-chain/113/
223,remoraid,Water,,6,120,remoraid,"['hustle', 'sniper', 'moody']",sea,gray,False,False,https://pokeapi.co/api/v2/evolution-chain/114/
224,octillery,Water,,9,285,octillery,"['suction-cups', 'sniper', 'moody']",sea,red,False,False,https://pokeapi.co/api/v2/evolution-chain/114/
225,delibird,Ice,Flying,9,160,delibird,"['vital-spirit', 'hustle', 'insomnia']",mountain,red,False,False,https://pokeapi.co/api/v2/evolution-chain/115/
226,mantine,Water,Flying,21,2200,mantine,"['swift-swim', 'water-absorb', 'water-veil']",sea,purple,False,False,https://pokeapi.co/api/v2/evolution-chain/116/
227,skarmory,Steel,Flying,17,505,skarmory,"['keen-eye', 'sturdy', 'weak-armor']",rough-terrain,gray,False,False,https://pokeapi.co/api/v2/evolution-chain/117/
228,houndour,Dark,Fire,6,108,houndour,"['early-bird', 'flash-fire', 'unnerve']",rough-terrain,black,False,False,https://pokeapi.co/api/v2/evolution-chain/118/
229,houndoom,Dark,Fire,14,350,houndoom,"['early-bird', 'flash-fire', 'unnerve']",rough-terrain,black,False,False,https://pokeapi.co/api/v2/evolution-chain/118/
230,kingdra,Water,Dragon,18,1520,kingdra,"['swift-swim', 'sniper', 'damp']",sea,blue,False,False,https://pokeapi.co/api/v2/evolution-chain/54/
231,phanpy,Ground,,5,335,phanpy,"['pickup', 'sand-veil']",rough-terrain,blue,False,False,https://pokeapi.co/api/v2/evolution-chain/119/
232,donphan,Ground,,11,1200,donphan,"['sturdy', 'sand-veil']",rough-terrain,gray,False,False,https://pokeapi.co/api/v2/evolution-chain/119/
233,porygon2,Normal,,6,325,porygon2,"['trace', 'download', 'analytic']",urban,red,False,False,https://pokeapi.co/api/v2/evolution-chain/68/
234,stantler,Normal,,14,712,stantler,"['intimidate', 'frisk', 'sap-sipper']",forest,brown,False,False,https://pokeapi.co/api/v2/evolution-chain/120/
235,smeargle,Normal,,12,580,smeargle,"['own-tempo', 'technician', 'moody']",urban,white,False,False,https://pokeapi.co/api/v2/evolution-chain/121/
236,tyrogue,Fighting,,7,210,tyrogue,"['guts', 'steadfast', 'vital-spirit']",urban,purple,False,False,https://pokeapi.co/api/v2/evolution-chain/47/
237,hitmontop,Fighting,,14,480,hitmontop,"['intimidate', 'technician', 'steadfast']",urban,brown,False,False,https://pokeapi.co/api/v2/evolution-chain/47/
238,smoochum,Ice,Psychic,4,60,smoochum,"['oblivious', 'forewarn', 'hydration']",urban,pink,False,False,https://pokeapi.co/api/v2/evolution-chain/59/
239,elekid,Electric,,6,235,elekid,"['static', 'vital-spirit']",grassland,yellow,False,False,https://pokeapi.co/api/v2/evolution-chain/60/
240,magby,Fire,,7,214,magby,"['flame-body', 'vital-spirit']",mountain,red,False,False,https://pokeapi.co/api/v2/evolution-chain/61/
241,miltank,Normal,,12,755,miltank,"['thick-fat', 'scrappy', 'sap-sipper']",grassland,pink,False,False,https://pokeapi.co/api/v2/evolution-chain/122/
242,blissey,Normal,,15,468,blissey,"['natural-cure', 'serene-grace', 'healer']",urban,pink,False,False,https://pokeapi.co/api/v2/evolution-chain/51/
243,raikou,Electric,,19,1780,raikou,"['pressure', 'inner-focus']",grassland,yellow,True,False,https://pokeapi.co/api/v2/evolution-chain/123/
244,entei,Fire,,21,1980,entei,"['pressure', 'inner-focus']",grassland,brown,True,False,https://pokeapi.co/api/v2/evolution-chain/124/
245,suicune,Water,,20,1870,suicune,"['pressure', 'inner-focus']",grassland,blue,True,False,https://pokeapi.co/api/v2/evolution-chain/125/
246,larvitar,Rock,Ground,6,720,larvitar,"['guts', 'sand-veil']",mountain,green,False,False,https://pokeapi.co/api/v2/evolution-chain/126/
247,pupitar,Rock,Ground,12,1520,pupitar,['shed-skin'],mountain,gray,False,False,https://pokeapi.co/api/v2/evolution-chain/126/
248,tyranitar,Rock,Dark,20,2020,tyranitar,"['sand-stream', 'unnerve']",mountain,green,False,False,https://pokeapi.co/api/v2/evolution-chain/126/
249,lugia,Psychic,Flying,52,2160,lugia,"['pressure', 'multiscale']",rare,white,True,False,https://pokeapi.co/api/v2/evolution-chain/127/
250,ho-oh,Fire,Flying,38,1990,ho-oh,"['pressure', 'regenerator']",rare,red,True,False,https://pokeapi.co/api/v2/evolution-chain/128/
251,celebi,Psychic,Grass,6,50,celebi,['natural-cure'],forest,green,False,True,https://pokeapi.co/api/v2/evolution-chain/129/
252,treecko,Grass,,5,50,treecko,"['overgrow', 'unburden']",forest,green,False,False,https://pokeapi.co/api/v2/evolution-chain/130/
253,grovyle,Grass,,9,216,grovyle,"['overgrow', 'unburden']",forest,green,False,False,https://pokeapi.co/api/v2/evolution-chain/130/
254,sceptile,Grass,,17,522,sceptile,"['overgrow', 'unburden']",forest,green,False,False,https://pokeapi.co/api/v2/evolution-chain/130/
255,torchic,Fire,,4,25,torchic,"['blaze', 'speed-boost']",grassland,red,False,False,https://pokeapi.co/api/v2/evolution-chain/131/
256,combusken,Fire,Fighting,9,195,combusken,"['blaze', 'speed-boost']",grassland,red,False,False,https://pokeapi.co/api/v2/evolution-chain/131/
257,blaziken,Fire,Fighting,19,520,blaziken,"['blaze', 'speed-boost']",grassland,red,False,False,https://pokeapi.co/api/v2/evolution-chain/131/
258,mudkip,Water,,4,76,mudkip,"['torrent', 'damp']",waters-edge,blue,False,False,https://pokeapi.co/api/v2/evolution-chain/132/
259,marshtomp,Water,Ground,7,280,marshtomp,"['torrent', 'damp']",waters-edge,blue,False,False,https://pokeapi.co/api/v2/evolution-chain/132/
260,swampert,Water,Ground,15,819,swampert,"['torrent', 'damp']",waters-edge,blue,False,False,https://pokeapi.co/api/v2/evolution-chain/132/
261,poochyena,Dark,,5,136,poochyena,"['run-away', 'quick-feet', 'rattled']",grassland,gray,False,False,https://pokeapi.co/api/v2/evolution-chain/133/
262,mightyena,Dark,,10,370,mightyena,"['intimidate', 'quick-feet', 'moxie']",grassland,gray,False,False,https://pokeapi.co/api/v2/evolution-chain/133/
263,zigzagoon,Normal,,4,175,zigzagoon,"['pickup', 'gluttony', 'quick-feet']",grassland,brown,False,False,https://pokeapi.co/api/v2/evolution-chain/134/
264,linoone,Normal,,5,325,linoone,"['pickup', 'gluttony', 'quick-feet']",grassland,white,False,False,https://pokeapi.co/api/v2/evolution-chain/134/
265,wurmple,Bug,,3,36,wurmple,"['shield-dust', 'run-away']",forest,red,False,False,https://pokeapi.co/api/v2/evolution-chain/135/
266,silcoon,Bug,,6,100,silcoon,['shed-skin'],forest,white,False,False,https://pokeapi.co/api/v2/evolution-chain/135/
267,beautifly,Bug,Flying,10,284,beautifly,"['swarm', 'rivalry']",forest,yellow,False,False,https://pokeapi.co/api/v2/evolution-chain/135/
268,cascoon,Bug,,7,115,cascoon,['shed-skin'],forest,purple,False,False,https://pokeapi.co/api/v2/evolution-chain/135/
269,dustox,Bug,Poison,12,316,dustox,"['shield-dust', 'compound-eyes']",forest,green,False,False,https://pokeapi.co/api/v2/evolution-chain/135/
270,lotad,Water,Grass,5,26,lotad,"['swift-swim', 'rain-dish', 'own-tempo']",waters-edge,green,False,False,https://pokeapi.co/api/v2/evolution-chain/136/
271,lombre,Water,Grass,12,325,lombre,"['swift-swim', 'rain-dish', 'own-tempo']",waters-edge,green,False,False,https://pokeapi.co/api/v2/evolution-chain/136/
272,ludicolo,Water,Grass,15,550,ludicolo,"['swift-swim', 'rain-dish', 'own-tempo']",waters-edge,green,False,False,https://pokeapi.co/api/v2/evolution-chain/136/
273,seedot,Grass,,5,40,seedot,"['chlorophyll', 'early-bird', 'pickpocket']",forest,brown,False,False,https://pokeapi.co/api/v2/evolution-chain/137/
274,nuzleaf,Grass,Dark,10,280,nuzleaf,"['chlorophyll', 'early-bird', 'pickpocket']",forest,brown,False,False,https://pokeapi.co/api/v2/evolution-chain/137/
275,shiftry,Grass,Dark,13,596,shiftry,"['chlorophyll', 'wind-rider', 'pickpocket']",forest,brown,False,False,https://pokeapi.co/api/v2/evolution-chain/137/
276,taillow,Normal,Flying,3,23,taillow,"['guts', 'scrappy']",grassland,blue,False,False,https://pokeapi.co/api/v2/evolution-chain/138/
277,swellow,Normal,Flying,7,198,swellow,"['guts', 'scrappy']",grassland,blue,False,False,https://pokeapi.co/api/v2/evolution-chain/138/
278,wingull,Water,Flying,6,95,wingull,"['keen-eye', 'hydration', 'rain-dish']",sea,white,False,False,https://pokeapi.co/api/v2/evolution-chain/139/
279,pelipper,Water,Flying,12,280,pelipper,"['keen-eye', 'drizzle', 'rain-dish']",sea,yellow,False,False,https://pokeapi.co/api/v2/evolution-chain/139/
280,ralts,Psychic,Fairy,4,66,ralts,"['synchronize', 'trace', 'telepathy']",urban,white,False,False,https://pokeapi.co/api/v2/evolution-chain/140/
281,kirlia,Psychic,Fairy,8,202,kirlia,"['synchronize', 'trace', 'telepathy']",urban,white,False,False,https://pokeapi.co/api/v2/evolution-chain/140/
282,gardevoir,Psychic,Fairy,16,484,gardevoir,"['synchronize', 'trace', 'telepathy']",urban,white,False,False,https://pokeapi.co/api/v2/evolution-chain/140/
283,surskit,Bug,Water,5,17,surskit,"['swift-swim', 'rain-dish']",waters-edge,blue,False,False,https://pokeapi.co/api/v2/evolution-chain/141/
284,masquerain,Bug,Flying,8,36,masquerain,"['intimidate', 'unnerve']",waters-edge,blue,False,False,https://pokeapi.co/api/v2/evolution-chain/141/
285,shroomish,Grass,,4,45,shroomish,"['effect-spore', 'poison-heal', 'quick-feet']",forest,brown,False,False,https://pokeapi.co/api/v2/evolution-chain/142/
286,breloom,Grass,Fighting,12,392,breloom,"['effect-spore', 'poison-heal', 'technician']",forest,green,False,False,https://pokeapi.co/api/v2/evolution-chain/142/
287,slakoth,Normal,,8,240,slakoth,['truant'],forest,brown,False,False,https://pokeapi.co/api/v2/evolution-chain/143/
288,vigoroth,Normal,,14,465,vigoroth,['vital-spirit'],forest,white,False,False,https://pokeapi.co/api/v2/evolution-chain/143/
289,slaking,Normal,,20,1305,slaking,['truant'],forest,brown,False,False,https://pokeapi.co/api/v2/evolution-chain/143/
290,nincada,Bug,Ground,5,55,nincada,"['compound-eyes', 'run-away']",forest,gray,False,False,https://pokeapi.co/api/v2/evolution-chain/144/
291,ninjask,Bug,Flying,8,120,ninjask,"['speed-boost', 'infiltrator']",forest,yellow,False,False,https://pokeapi.co/api/v2/evolution-chain/144/
292,shedinja,Bug,Ghost,8,12,shedinja,['wonder-guard'],forest,brown,False,False,https://pokeapi.co/api/v2/evolution-chain/144/
293,whismur,Normal,,6,163,whismur,"['soundproof', 'rattled']",cave,pink,False,False,https://pokeapi.co/api/v2/evolution-chain/145/
294,loudred,Normal,,10,405,loudred,"['soundproof', 'scrappy']",cave,blue,False,False,https://pokeapi.co/api/v2/evolution-chain/145/
295,exploud,Normal,,15,840,exploud,"['soundproof', 'scrappy']",cave,blue,False,False,https://pokeapi.co/api/v2/evolution-chain/145/
296,makuhita,Fighting,,10,864,makuhita,"['thick-fat', 'guts', 'sheer-force']",mountain,yellow,False,False,https://pokeapi.co/api/v2/evolution-chain/146/
297,hariyama,Fighting,,23,2538,hariyama,"['thick-fat', 'guts', 'sheer-force']",mountain,brown,False,False,https://pokeapi.co/api/v2/evolution-chain/146/
298,azurill,Normal,Fairy,2,20,azurill,"['thick-fat', 'huge-power', 'sap-sipper']",waters-edge,blue,False,False,https://pokeapi.co/api/v2/evolution-chain/90/
299,nosepass,Rock,,10,970,nosepass,"['sturdy', 'magnet-pull', 'sand-force']",cave,gray,False,False,https://pokeapi.co/api/v2/evolution-chain/147/
300,skitty,Normal,,6,110,skitty,"['cute-charm', 'normalize', 'wonder-skin']",forest,pink,False,False,https://pokeapi.co/api/v2/evolution-chain/148/
301,delcatty,Normal,,11,326,delcatty,"['cute-charm', 'normalize', 'wonder-skin']",forest,purple,False,False,https://pokeapi.co/api/v2/evolution-chain/148/
302,sableye,Dark,Ghost,5,110,sableye,"['keen-eye', 'stall', 'prankster']",cave,purple,False,False,https://pokeapi.co/api/v2/evolution-chain/149/
303,mawile,Steel,Fairy,6,115,mawile,"['hyper-cutter', 'intimidate', 'sheer-force']",cave,black,False,False,https://pokeapi.co/api/v2/evolution-chain/150/
304,aron,Steel,Rock,4,600,aron,"['sturdy', 'rock-head', 'heavy-metal']",mountain,gray,False,False,https://pokeapi.co/api/v2/evolution-chain/151/
305,lairon,Steel,Rock,9,1200,lairon,"['sturdy', 'rock-head', 'heavy-metal']",mountain,gray,False,False,https://pokeapi.co/api/v2/evolution-chain/151/
306,aggron,Steel,Rock,21,3600,aggron,"['sturdy', 'rock-head', 'heavy-metal']",mountain,gray,False,False,https://pokeapi.co/api/v2/evolution-chain/151/
307,meditite,Fighting,Psychic,6,112,meditite,"['pure-power', 'telepathy']",mountain,blue,False,False,https://pokeapi.co/api/v2/evolution-chain/152/
308,medicham,Fighting,Psychic,13,315,medicham,"['pure-power', 'telepathy']",mountain,red,False,False,https://pokeapi.co/api/v2/evolution-chain/152/
309,electrike,Electric,,6,152,electrike,"['static', 'lightning-rod', 'minus']",grassland,green,False,False,https://pokeapi.co/api/v2/evolution-chain/153/
310,manectric,Electric,,15,402,manectric,"['static', 'lightning-rod', 'minus']",grassland,yellow,False,False,https://pokeapi.co/api/v2/evolution-chain/153/
311,plusle,Electric,,4,42,plusle,"['plus', 'lightning-rod']",grassland,yellow,False,False,https://pokeapi.co/api/v2/evolution-chain/154/
312,minun,Electric,,4,42,minun,"['minus', 'volt-absorb']",grassland,yellow,False,False,https://pokeapi.co/api/v2/evolution-chain/155/
313,volbeat,Bug,,7,177,volbeat,"['illuminate', 'swarm', 'prankster']",forest,gray,False,False,https://pokeapi.co/api/v2/evolution-chain/156/
314,illumise,Bug,,6,177,illumise,"['oblivious', 'tinted-lens', 'prankster']",forest,purple,False,False,https://pokeapi.co/api/v2/evolution-chain/157/
315,roselia,Grass,Poison,3,20,roselia,"['natural-cure', 'poison-point', 'leaf-guard']",grassland,green,False,False,https://pokeapi.co/api/v2/evolution-chain/158/
316,gulpin,Poison,,4,103,gulpin,"['liquid-ooze', 'sticky-hold', 'gluttony']",grassland,green,False,False,https://pokeapi.co/api/v2/evolution-chain/159/
317,swalot,Poison,,17,800,swalot,"['liquid-ooze', 'sticky-hold', 'gluttony']",grassland,purple,False,False,https://pokeapi.co/api/v2/evolution-chain/159/
318,carvanha,Water,Dark,8,208,carvanha,"['rough-skin', 'speed-boost']",sea,red,False,False,https://pokeapi.co/api/v2/evolution-chain/160/
319,sharpedo,Water,Dark,18,888,sharpedo,"['rough-skin', 'speed-boost']",sea,blue,False,False,https://pokeapi.co/api/v2/evolution-chain/160/
320,wailmer,Water,,20,1300,wailmer,"['water-veil', 'oblivious', 'pressure']",sea,blue,False,False,https://pokeapi.co/api/v2/evolution-chain/161/
321,wailord,Water,,145,3980,wailord,"['water-veil', 'oblivious', 'pressure']",sea,blue,False,False,https://pokeapi.co/api/v2/evolution-chain/161/
322,numel,Fire,Ground,7,240,numel,"['oblivious', 'simple', 'own-tempo']",mountain,yellow,False,False,https://pokeapi.co/api/v2/evolution-chain/162/
323,camerupt,Fire,Ground,19,2200,camerupt,"['magma-armor', 'solid-rock', 'anger-point']",mountain,red,False,False,https://pokeapi.co/api/v2/evolution-chain/162/
324,torkoal,Fire,,5,804,torkoal,"['white-smoke', 'drought', 'shell-armor']",mountain,brown,False,False,https://pokeapi.co/api/v2/evolution-chain/163/
325,spoink,Psychic,,7,306,spoink,"['thick-fat', 'own-tempo', 'gluttony']",mountain,black,False,False,https://pokeapi.co/api/v2/evolution-chain/164/
326,grumpig,Psychic,,9,715,grumpig,"['thick-fat', 'own-tempo', 'gluttony']",mountain,purple,False,False,https://pokeapi.co/api/v2/evolution-chain/164/
327,spinda,Normal,,11,50,spinda,"['own-tempo', 'tangled-feet', 'contrary']",mountain,brown,False,False,https://pokeapi.co/api/v2/evolution-chain/165/
328,trapinch,Ground,,7,150,trapinch,"['hyper-cutter', 'arena-trap', 'sheer-force']",rough-terrain,brown,False,False,https://pokeapi.co/api/v2/evolution-chain/166/
329,vibrava,Ground,Dragon,11,153,vibrava,['levitate'],rough-terrain,green,False,False,https://pokeapi.co/api/v2/evolution-chain/166/
330,flygon,Ground,Dragon,20,820,flygon,['levitate'],rough-terrain,green,False,False,https://pokeapi.co/api/v2/evolution-chain/166/
331,cacnea,Grass,,4,513,cacnea,"['sand-veil', 'water-absorb']",rough-terrain,green,False,False,https://pokeapi.co/api/v2/evolution-chain/167/
332,cacturne,Grass,Dark,13,774,cacturne,"['sand-veil', 'water-absorb']",rough-terrain,green,False,False,https://pokeapi.co/api/v2/evolution-chain/167/
333,swablu,Normal,Flying,4,12,swablu,"['natural-cure', 'cloud-nine']",forest,blue,False,False,https://pokeapi.co/api/v2/evolution-chain/168/
334,altaria,Dragon,Flying,11,206,altaria,"['natural-cure', 'cloud-nine']",forest,blue,False,False,https://pokeapi.co/api/v2/evolution-chain/168/
335,zangoose,Normal,,13,403,zangoose,"['immunity', 'toxic-boost']",grassland,white,False,False,https://pokeapi.co/api/v2/evolution-chain/169/
336,seviper,Poison,,27,525,seviper,"['shed-skin', 'infiltrator']",grassland,black,False,False,https://pokeapi.co/api/v2/evolution-chain/170/
337,lunatone,Rock,Psychic,10,1680,lunatone,['levitate'],cave,yellow,False,False,https://pokeapi.co/api/v2/evolution-chain/171/
338,solrock,Rock,Psychic,12,1540,solrock,['levitate'],cave,red,False,False,https://pokeapi.co/api/v2/evolution-chain/172/
339,barboach,Water,Ground,4,19,barboach,"['oblivious', 'anticipation', 'hydration']",waters-edge,gray,False,False,https://pokeapi.co/api/v2/evolution-chain/173/
340,whiscash,Water,Ground,9,236,whiscash,"['oblivious', 'anticipation', 'hydration']",waters-edge,blue,False,False,https://pokeapi.co/api/v2/evolution-chain/173/
341,corphish,Water,,6,115,corphish,"['hyper-cutter', 'shell-armor', 'adaptability']",waters-edge,red,False,False,https://pokeapi.co/api/v2/evolution-chain/174/
342,crawdaunt,Water,Dark,11,328,crawdaunt,"['hyper-cutter', 'shell-armor', 'adaptability']",waters-edge,red,False,False,https://pokeapi.co/api/v2/evolution-chain/174/
343,baltoy,Ground,Psychic,5,215,baltoy,['levitate'],rough-terrain,brown,False,False,https://pokeapi.co/api/v2/evolution-chain/175/
344,claydol,Ground,Psychic,15,1080,claydol,['levitate'],rough-terrain,black,False,False,https://pokeapi.co/api/v2/evolution-chain/175/
345,lileep,Rock,Grass,10,238,lileep,"['suction-cups', 'storm-drain']",sea,purple,False,False,https://pokeapi.co/api/v2/evolution-chain/176/
346,cradily,Rock,Grass,15,604,cradily,"['suction-cups', 'storm-drain']",sea,green,False,False,https://pokeapi.co/api/v2/evolution-chain/176/
347,anorith,Rock,Bug,7,125,anorith,"['battle-armor', 'swift-swim']",waters-edge,gray,False,False,https://pokeapi.co/api/v2/evolution-chain/177/
348,armaldo,Rock,Bug,15,682,armaldo,"['battle-armor', 'swift-swim']",waters-edge,gray,False,False,https://pokeapi.co/api/v2/evolution-chain/177/
349,feebas,Water,,6,74,feebas,"['swift-swim', 'oblivious', 'adaptability']",waters-edge,brown,False,False,https://pokeapi.co/api/v2/evolution-chain/178/
350,milotic,Water,,62,1620,milotic,"['marvel-scale', 'competitive', 'cute-charm']",waters-edge,pink,False,False,https://pokeapi.co/api/v2/evolution-chain/178/
351,castform,Normal,,3,8,castform,['forecast'],grassland,gray,False,False,https://pokeapi.co/api/v2/evolution-chain/179/
352,kecleon,Normal,,10,220,kecleon,"['color-change', 'protean']",forest,green,False,False,https://pokeapi.co/api/v2/evolution-chain/180/
353,shuppet,Ghost,,6,23,shuppet,"['insomnia', 'frisk', 'cursed-body']",urban,black,False,False,https://pokeapi.co/api/v2/evolution-chain/181/
354,banette,Ghost,,11,125,banette,"['insomnia', 'frisk', 'cursed-body']",urban,black,False,False,https://pokeapi.co/api/v2/evolution-chain/181/
355,duskull,Ghost,,8,150,duskull,"['levitate', 'frisk']",forest,black,False,False,https://pokeapi.co/api/v2/evolution-chain/182/
356,dusclops,Ghost,,16,306,dusclops,"['pressure', 'frisk']",forest,black,False,False,https://pokeapi.co/api/v2/evolution-chain/182/
357,tropius,Grass,Flying,20,1000,tropius,"['chlorophyll', 'solar-power', 'harvest']",forest,green,False,False,https://pokeapi.co/api/v2/evolution-chain/183/
358,chimecho,Psychic,,6,10,chimecho,['levitate'],grassland,blue,False,False,https://pokeapi.co/api/v2/evolution-chain/184/
359,absol,Dark,,12,470,absol,"['pressure', 'super-luck', 'justified']",mountain,white,False,False,https://pokeapi.co/api/v2/evolution-chain/185/
360,wynaut,Psychic,,6,140,wynaut,"['shadow-tag', 'telepathy']",cave,blue,False,False,https://pokeapi.co/api/v2/evolution-chain/100/
361,snorunt,Ice,,7,168,snorunt,"['inner-focus', 'ice-body', 'moody']",cave,gray,False,False,https://pokeapi.co/api/v2/evolution-chain/186/
362,glalie,Ice,,15,2565,glalie,"['inner-focus', 'ice-body', 'moody']",cave,gray,False,False,https://pokeapi.co/api/v2/evolution-chain/186/
